pred_1,pred_2,pred_3,pred_4,pred_5,gt
1,1,1,1,1,1
0,1,0,0,0,1
0,0,0,0,1,1
0,0,0,0,0,1
1,1,1,1,1,1
1,0,1,1,1,1
0,1,1,1,1,1
1,1,1,1,1,1
0,1,0,1,0,1
0,1,1,0,0,1
1,1,1,1,1,1
1,0,1,0,0,1
1,1,1,0,1,1
1,0,0,1,1,1
1,0,1,0,0,1
1,1,0,1,0,1
1,0,1,1,0,1
0,0,1,1,0,1
1,0,1,1,1,1
1,1,1,1,1,1
0,0,1,0,0,0
1,1,1,1,1,0
1,1,1,1,0,0
0,1,1,1,1,0
1,1,1,1,1,0
0,0,0,0,0,0
0,1,0,1,1,0
1,0,1,0,0,0
0,0,1,1,0,0
1,1,1,1,1,0
1,1,1,1,0,0
1,1,1,1,1,0
1,1,1,1,1,0
0,0,1,0,1,0
1,0,0,0,1,0
1,0,0,0,1,0
1,0,1,1,1,0
1,1,0,0,1,0
0,0,0,0,0,0
0,0,0,0,0,0
1,1,1,1,1,0
0,0,0,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0,1,1,0,1,0
0,0,0,0,0,0
0,0,0,0,0,0
1,1,1,1,1,0
0,0,0,1,1,0
1,1,1,1,1,0
1,0,1,1,1,0
1,0,1,1,0,0
1,0,0,1,0,0
0,0,1,0,0,0
0,0,0,0,0,0
1,1,1,1,0,0
0,1,1,1,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,0,1,1,1,0
1,1,1,1,1,0
1,0,0,1,1,0
0,0,1,1,1,0
0,0,1,1,0,0
0,0,0,1,0,0
1,1,0,1,1,0
1,1,1,1,0,0
0,0,0,0,0,0
0,0,0,1,0,0
0,1,0,0,0,0
0,0,1,1,0,0
0,0,0,0,0,0
1,1,1,1,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,1,1,1,1,0
0,1,1,0,0,0
0,0,0,0,1,0
0,0,0,0,0,0
0,1,0,1,1,0
0,0,0,0,0,0
0,0,1,1,0,0
0,0,0,0,0,0
0,1,1,1,0,0
0,0,1,0,0,0
1,1,1,1,1,0
0,0,1,1,0,0
1,0,0,0,0,0
1,1,0,1,1,0
1,0,1,0,0,0
0,1,1,0,0,0
1,1,0,1,1,0
1,1,1,0,1,0
0,1,0,1,1,0
1,1,0,1,1,0
1,1,1,1,0,0
0,1,1,1,0,0
1,0,1,1,1,0
1,0,1,1,0,0
0,0,0,0,0,0
